sid,chain,treat,period,fte,pfratio,price
1,bk,0,0,13.5,1,3.12
1,bk,0,1,18,2.5,2.97
2,bk,0,0,15.5,4.2,2.63
2,bk,0,1,34.5,0.26229508196721313,2.61
3,bk,0,0,18,4,2.67
3,bk,0,1,19,0.9230769230769231,2.59
4,bk,0,0,18.5,1.2173913043478262,2.72
4,bk,0,1,41.25,0.17105263157894737,2.81
5,bk,0,0,19,2.2222222222222223,2.48
5,bk,0,1,25,2,2.64
6,bk,0,0,19.5,4.5,2.65
6,bk,0,1,27,7,2.63
7,bk,0,0,21,1.5,2.72
7,bk,0,1,24.5,2.4545454545454546,2.66
8,bk,0,0,21,5,2.81
8,bk,0,1,17.5,3.8333333333333335,2.69
9,bk,0,0,22.5,3,2.72
9,bk,0,1,35.5,0.5357142857142857,2.67
10,bk,0,0,22.75,9.375,2.49
10,bk,0,1,21,6.4,2.4699999999999998
11,bk,0,0,23.5,1.1333333333333333,2.85
11,bk,0,1,36.5,0.28125,2.89
12,bk,0,0,24,3.3333333333333335,2.65
12,bk,0,1,23,3.75,2.9799999999999995
13,bk,0,0,24.5,0.8823529411764706,2.62
13,bk,0,1,43.5,0.4166666666666667,2.85
14,bk,0,0,26,2.3333333333333335,2.74
14,bk,0,1,20,2,2.69
15,bk,0,0,26.5,2.076923076923077,2.6
15,bk,0,1,30.5,3.5454545454545454,2.6
16,bk,0,0,27,1.1764705882352942,2.5999999999999996
16,bk,0,1,25.5,1.9230769230769231,2.67
17,bk,0,0,28.5,2.2222222222222223,2.75
17,bk,0,1,26,0.47619047619047616,2.81
18,bk,0,0,29,2.142857142857143,2.48
18,bk,0,1,25,10.5,2.42
19,bk,0,0,32,0.2857142857142857,2.81
19,bk,0,1,21,1.2307692307692308,2.86
20,bk,0,0,32.5,0.32142857142857145,2.6599999999999997
20,bk,0,1,25.5,1.9230769230769231,2.6799999999999997
21,bk,0,0,36.5,1.0416666666666667,2.5
21,bk,0,1,27,16,2.39
22,bk,0,0,39,0.6896551724137931,2.72
22,bk,0,1,26.5,1.5333333333333334,2.74
23,bk,0,0,41.5,0.04938271604938271,2.93
23,bk,0,1,23.5,2.272727272727273,2.71
24,bk,0,0,48.5,0.6944444444444444,2.74
24,bk,0,1,27,2.5,2.8000000000000003
25,bk,0,0,52.5,2.2,2.4699999999999998
25,bk,0,1,34,0.3448275862068966,2.4699999999999998
26,bk,0,0,58,0.6976744186046512,2.84
26,bk,0,1,29,2.4615384615384617,2.67
27,bk,0,0,70.5,0.660377358490566,2.86
27,bk,0,1,29,0.9,2.84
28,kfc,0,0,7.5,3,4.28
28,kfc,0,1,9.5,1.8,4.220000000000001
29,kfc,0,0,8.5,1.4,4.02
29,kfc,0,1,10.5,1,4.02
30,kfc,0,0,8.5,2.25,4.199999999999999
30,kfc,0,1,14,3.6,4.3100000000000005
31,kfc,0,0,8.5,2.25,4.02
31,kfc,0,1,13,1.7142857142857142,4.06
32,kfc,0,0,9,2.5,3.9899999999999998
32,kfc,0,1,8.5,2.25,3.9499999999999997
33,kfc,0,0,9.5,7.5,3.9899999999999998
33,kfc,0,1,13.5,1.8571428571428572,4.02
34,kfc,0,0,10.5,5,4.25
34,kfc,0,1,16.5,1.6666666666666667,4.24
35,kfc,0,0,11,1.1428571428571428,3.78
35,kfc,0,1,11,2.4,4.1
36,kfc,0,0,11,2.4,4.02
36,kfc,0,1,11,3.5,4.32
37,kfc,0,0,13.75,0.6190476190476191,4.26
37,kfc,0,1,11.5,3.75,4.25
38,kfc,0,0,14,1.1111111111111112,5.4
38,kfc,0,1,17,2.857142857142857,4.25
39,kfc,0,0,16.75,2.1875,4.22
39,kfc,0,1,20,0.2222222222222222,4
40,roys,0,0,13,3.2,3.1
40,roys,0,1,13.5,2.5,3.2700000000000005
41,roys,0,0,14,2.6666666666666665,3.16
41,roys,0,1,13.5,1.1764705882352942,2.9499999999999997
42,roys,0,0,15,0.5,2.9699999999999998
42,roys,0,1,19,2.2222222222222223,3
43,roys,0,0,15,2.2857142857142856,2.9699999999999998
43,roys,0,1,12.5,2.1666666666666665,2.91
44,roys,0,0,15.5,3.6363636363636362,3.17
44,roys,0,1,17.5,5,2.91
45,roys,0,0,18,2.5,2.89
45,roys,0,1,15,4,2.91
46,roys,0,0,18,2.5,2.78
46,roys,0,1,34,0.6153846153846154,2.95
47,roys,0,0,18.5,3.2857142857142856,3
47,roys,0,1,14.5,3.8,3.0700000000000003
48,roys,0,0,19,1.4545454545454546,3.15
48,roys,0,1,17.5,2.375,2.96
49,roys,0,0,20.25,0.8928571428571429,3.1100000000000003
49,roys,0,1,14,3.6,3.0700000000000003
50,roys,0,0,20.25,2.5,3.01
50,roys,0,1,10,3,2.85
51,roys,0,0,20.5,1.1538461538461537,2.68
51,roys,0,1,18,0.7692307692307693,2.91
52,roys,0,0,21,4,3
52,roys,0,1,21,1.8181818181818181,2.98
53,roys,0,0,29.5,0.5652173913043478,2.85
53,roys,0,1,15.5,1.875,2.96
54,roys,0,0,36,0.4,3.96
54,roys,0,1,19,7.5,2.87
55,wendys,0,0,10.5,5,2.6100000000000003
55,wendys,0,1,12,4,2.71
56,wendys,0,0,15.5,8.333333333333334,3.69
56,wendys,0,1,18,10,3.6
57,wendys,0,0,17.5,2.375,3.4800000000000004
57,wendys,0,1,19,2.2222222222222223,3.6100000000000003
58,wendys,0,0,19,5.6,3.34
58,wendys,0,1,20.5,6.2,2.53
59,wendys,0,0,23.5,2.272727272727273,2.6500000000000004
59,wendys,0,1,18,7,2.82
60,wendys,0,0,24,2.3636363636363638,3.29
60,wendys,0,1,35.5,0.08823529411764706,2.8
61,wendys,0,0,25,1.3333333333333333,2.54
61,wendys,0,1,25,1.3333333333333333,2.6799999999999997
62,wendys,0,0,28,0.43478260869565216,2.6
62,wendys,0,1,26.75,0.22916666666666666,2.7199999999999998
63,wendys,0,0,34,0.8333333333333334,3.48
63,wendys,0,1,20,18,2.58
64,wendys,0,0,38,0.30303030303030304,2.56
64,wendys,0,1,20,1.6363636363636365,2.69
65,wendys,0,0,38,0.30303030303030304,2.5
65,wendys,0,1,18,10,3.6100000000000003
66,bk,1,0,6,4,3.11
66,bk,1,1,7,0,3.3600000000000003
67,bk,1,0,7,5,2.81
67,bk,1,1,16.5,4.6,3.1
68,bk,1,0,10,0.8571428571428571,3.2100000000000004
68,bk,1,1,7,0.3333333333333333,3.33
69,bk,1,0,10,0.5,3.05
69,bk,1,1,10,0.2222222222222222,3.2199999999999998
70,bk,1,0,12.5,6.333333333333333,2.96
70,bk,1,1,23,0.5555555555555556,2.95
71,bk,1,0,13,0.6,3.1399999999999997
71,bk,1,1,19,0.9230769230769231,2.96
72,bk,1,0,13,1.25,2.86
72,bk,1,1,11.5,5.666666666666667,3.27
73,bk,1,0,14,5,2.96
73,bk,1,1,16,0.9090909090909091,2.9299999999999997
74,bk,1,0,14.25,2.75,2.7199999999999998
